id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
4109184,2016/07/07 3:19 PM UTC,2016-07-07,,UTC,220924,natemartineau,2016-09-14 19:24:17 UTC,2019-07-04 14:44:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4109184,http://static.inaturalist.org/photos/4883774/medium.jpeg,,"",                               ,1,0,false,,"Chippewa County, MI, USA",46.7673857813,-84.9598635359,700,,,,700,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
5165414,2016-10-15 10:43:37,2016-10-15,2016-10-15 14:43:37 UTC,Eastern Time (US & Canada),164015,owenclarkin,2017-02-24 03:13:03 UTC,2019-07-04 14:44:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5165414,https://inaturalist-open-data.s3.amazonaws.com/photos/6367335/medium.jpeg,,"",in deciduous woods,2,0,false,,CliffLAND,45.176393,-76.654174,100,,,,100,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
5736605,Sat Apr 15 2017 13:04:44 GMT-0400 (EDT),2017-04-15,2017-04-15 17:04:44 UTC,Eastern Time (US & Canada),18327,whiteoak,2017-04-15 22:24:03 UTC,2020-06-21 00:02:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5736605,https://inaturalist-open-data.s3.amazonaws.com/photos/7116183/medium.jpg,,"",,1,0,false,3,"North Carolina, US",35.4698681055,-78.9742386599,10,,,,28677,,obscured,true,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6329110,2017-05-22 12:15:10 PM CDT,2017-05-22,2017-05-22 17:15:10 UTC,Central Time (US & Canada),370951,sejohnson,2017-05-23 03:43:19 UTC,2019-07-04 14:44:52 UTC,research,CC-BY,https://www.inaturalist.org/observations/6329110,https://inaturalist-open-data.s3.amazonaws.com/photos/7973428/medium.jpeg,,"","Common species on older sand dunes, especially with Cladonia lichen cover. Here, with false heather. Great Lakes Barrens. ",1,0,false,2,"La Pointe, WI 54850",46.9156112671,-90.5452423096,,,,,,,,false,gps,gps,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6681355,2017/06/15 3:36 PM EDT,2017-06-15,2017-06-15 19:36:00 UTC,Eastern Time (US & Canada),437461,donaldasutherland,2017-06-16 17:23:42 UTC,2020-07-14 16:37:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6681355,https://inaturalist-open-data.s3.amazonaws.com/photos/8469294/medium.jpeg,,"",,1,0,false,,"Sudbury, ON, Canada",46.4344166667,-80.9617777778,,,,,,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6745094,Wed Jun 21 2017 10:09:13 GMT-0400 (EDT),2017-06-21,2017-06-21 14:09:13 UTC,Eastern Time (US & Canada),440749,peterburke,2017-06-21 18:30:40 UTC,2019-07-04 14:45:03 UTC,research,,http://inaturalist.ca/observations/6745094,https://static.inaturalist.org/photos/8566799/medium.jpg,,"",,1,0,false,3,"Galway-Cavendish and Harvey, Galway-Cavendish and Harvey, ON, CA",44.5692666667,-78.331725,,,,,,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6749612,2017-06-21 12:19:01 PM EDT,2017-06-21,2017-06-21 16:19:01 UTC,Eastern Time (US & Canada),438994,wasylbakowsky,2017-06-22 01:42:26 UTC,2019-10-04 13:17:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6749612,https://inaturalist-open-data.s3.amazonaws.com/photos/8573945/medium.jpeg,,"",,1,0,false,2,"Lennox and Addington, CA-ON, CA",44.5588485,-77.11493916,9,,,,9,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6774353,2017-06-24 12:24:22 popiet EEST,2017-06-24,2017-06-24 09:24:22 UTC,Athens,473473,aurelijus,2017-06-24 09:27:57 UTC,2019-07-04 14:45:07 UTC,research,,https://www.inaturalist.org/observations/6774353,https://static.inaturalist.org/photos/8611416/medium.jpeg,,"",,2,0,false,2,Palanga,55.96557246,21.07004228,10,,,,10,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6816400,Tue Jun 20 2017 19:05:03 GMT-0400 (EDT),2017-06-20,2017-06-20 23:05:03 UTC,Eastern Time (US & Canada),4860,rcurtis,2017-06-27 01:39:26 UTC,2021-05-07 21:04:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/6816400,https://inaturalist-open-data.s3.amazonaws.com/photos/8675117/medium.jpg,,"",,1,0,false,3,"44241, Streetsboro, OH, US",41.2113791373,-81.3624457947,,,,,,,open,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6841937,2017-06-27 4:44:47 PM CDT,2017-06-27,2017-06-27 21:44:47 UTC,Central Time (US & Canada),370951,sejohnson,2017-06-29 00:48:15 UTC,2019-07-04 14:45:11 UTC,research,CC-BY,https://www.inaturalist.org/observations/6841937,https://inaturalist-open-data.s3.amazonaws.com/photos/8714931/medium.jpeg,,"",Common on sand dunes and forested dunes on Apostle Islands. ,1,0,false,2,Ashland County WI,46.9235853128,-90.569701865,33021,,,,33021,,,false,gps,gps,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
6859597,Fri Jun 30 2017 11:05:55 GMT-0400 (EDT),2017-06-30,2017-06-30 15:05:55 UTC,Eastern Time (US & Canada),497631,georgianbayislandsnationalpark,2017-06-30 15:05:57 UTC,2019-07-04 14:35:29 UTC,research,CC-BY-NC,http://inaturalist.ca/observations/6859597,https://inaturalist-open-data.s3.amazonaws.com/photos/8742638/medium.jpg,,"",,1,0,false,3,"Georgian Bay Islands National Park, Georgian Bay, ON, CA",44.8591172649,-79.8620778044,5,,,,5,,,false,,,Crinkled Hairgrass,Avenella flexuosa flexuosa,Crinkled Hairgrass,Plantae,905580
6885334,Sun Jul 02 2017 09:12:55 GMT+0200 (GMT+2),2017-07-02,2017-07-02 07:12:55 UTC,Africa/Johannesburg,404218,veronika_johansson,2017-07-02 10:39:30 UTC,2022-06-07 11:28:12 UTC,research,CC0,https://www.inaturalist.org/observations/6885334,https://inaturalist-open-data.s3.amazonaws.com/photos/8782193/medium.jpg,,"",,1,0,false,3,"Fagerumsvägen 79, Löttorp, Kalmar Län, SE",57.2632615037,17.0119315122,103,,,,103,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
7115292,Wed Jul 19 2017 10:46:35 GMT+0200 (GMT+2),2017-07-19,2017-07-19 08:46:35 UTC,Africa/Johannesburg,404218,veronika_johansson,2017-07-19 11:04:07 UTC,2022-06-07 11:28:12 UTC,research,CC0,https://www.inaturalist.org/observations/7115292,https://inaturalist-open-data.s3.amazonaws.com/photos/9151264/medium.jpg,,"",,1,0,false,3,"Fagerumsvägen 53, Löttorp, Kalmar Län, SE",57.264852267,17.018829401,19,,,,19,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
7141440,Thu Jul 20 2017 15:12:53 GMT+0200 (GMT+2),2017-07-20,2017-07-20 13:12:53 UTC,Africa/Johannesburg,5739,dagendresen,2017-07-21 08:15:57 UTC,2022-05-24 07:01:06 UTC,research,CC0,https://www.inaturalist.org/observations/7141440,https://inaturalist-open-data.s3.amazonaws.com/photos/9194502/medium.jpg,,"","",1,0,false,3,"Merdø, Færvik, Aust-Agder, NO",58.4234383333,8.7996583333,,,,,,,,false,,"",wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
7187568,2017-07-24 4:22:56 PM MESZ,2017-07-24,2017-07-24 16:22:56 UTC,UTC,542067,birgitta2,2017-07-24 14:24:45 UTC,2019-07-04 14:45:21 UTC,research,,https://www.inaturalist.org/observations/7187568,https://static.inaturalist.org/photos/9267172/medium.jpeg,,"",,2,0,false,2,Tippetue 5014 Bergen Norwegen,60.4006901477,5.3330687692,8,,,,8,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
7220981,Wed Jul 26 2017 15:00:11 GMT-0400 (EDT),2017-07-26,2017-07-26 19:00:11 UTC,Eastern Time (US & Canada),440749,peterburke,2017-07-26 19:01:37 UTC,2018-01-04 07:32:39 UTC,research,,http://inaturalist.ca/observations/7220981,https://static.inaturalist.org/photos/9320304/medium.jpg,,"",,1,0,false,3,"ON-400 N, Georgian Bay, ON, CA",44.84518,-79.73468,,,,,,,,false,,,Avenella flexuosa,Avenella flexuosa,wavy hair-grass,Plantae,288069
7274612,2017-07-30 12:58:06 popiet GMT+03:00,2017-07-30,2017-07-30 09:58:06 UTC,Baghdad,303791,siju,2017-07-30 09:59:25 UTC,2019-07-04 14:45:23 UTC,research,CC-BY,https://www.inaturalist.org/observations/7274612,https://static.inaturalist.org/photos/9405257/medium.jpeg,,"",,1,0,false,2,15166 Lietuva,54.84598019,25.5078097,4,,,,4,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
7284800,2017-07-30 5:46:58 p.m. CEST,2017-07-30,2017-07-30 15:46:58 UTC,Paris,534826,jmgrinde,2017-07-30 22:32:40 UTC,2020-07-17 15:31:53 UTC,research,,https://www.inaturalist.org/observations/7284800,https://static.inaturalist.org/photos/9421109/medium.jpeg,,"","",1,0,false,2,"Estenstad, Trondheim",63.3918394357,10.4902098968,16,,,,16,,,false,,"",wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
7430198,2017-08-08 8:29:14 PM CDT,2017-08-08,2017-08-09 01:29:14 UTC,Central Time (US & Canada),480655,ryanoconnor77,2017-08-10 03:10:51 UTC,2017-08-10 13:16:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7430198,https://inaturalist-open-data.s3.amazonaws.com/photos/9656813/medium.jpeg,,"","Awns exserted well beyond glumes, leaves involute-filiform. In northern dry-mesic forest.",1,0,false,2,"Clover, WI USA",46.8522070607,-91.198131702,258,,,,258,,,false,gps,gps,Avenella flexuosa,Avenella flexuosa,wavy hair-grass,Plantae,288069
7529255,Wed Aug 16 2017 07:49:48 GMT+0200 (GMT+2),2017-08-16,2017-08-16 05:49:48 UTC,Africa/Johannesburg,44100,vilseskog,2017-08-17 09:43:19 UTC,2019-07-04 14:45:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7529255,https://inaturalist-open-data.s3.amazonaws.com/photos/9819792/medium.jpg,,"",,1,0,false,3,"Medicinaregatan 1K, Gothenburg, Västra Götaland, SE",57.6862243248,11.9616769799,305,,,,305,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
7993529,2017/09/08 8:39 AM EDT,2017-09-08,2017-09-08 12:39:00 UTC,Eastern Time (US & Canada),111485,michael_oldham,2017-09-19 12:50:12 UTC,2020-07-06 18:06:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7993529,https://inaturalist-open-data.s3.amazonaws.com/photos/10573260/medium.jpeg,,"",,1,0,false,,"Nipissing District, ON, Canada",45.6345755004,-78.3612513542,31,,,,31,,,false,,,Avenella flexuosa,Avenella flexuosa,wavy hair-grass,Plantae,288069
8509836,2017-10-08 12:29:47 p.m. CEST,2017-10-08,2017-10-08 10:29:47 UTC,Paris,534826,jmgrinde,2017-10-22 20:57:03 UTC,2020-07-19 08:37:18 UTC,research,,https://www.inaturalist.org/observations/8509836,https://static.inaturalist.org/photos/11356896/medium.jpeg,,"","",1,0,false,2,"Storhaug, N for Malmagrønsnosi, Voss",60.7775001526,6.6161112785,,,,,,,,false,gps,gps,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
8510315,2017-10-10 1:40:35 p.m. CEST,2017-10-10,2017-10-10 11:40:35 UTC,Paris,534826,jmgrinde,2017-10-22 21:24:07 UTC,2020-07-19 09:00:12 UTC,research,,https://www.inaturalist.org/observations/8510315,https://static.inaturalist.org/photos/11357686/medium.jpeg,,"","",1,0,false,2,"Ernes, Osafjorden, Ulvik",60.5842981138,7.0163063196,6,,,,6,,,false,,"",wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
9222192,2017/07/10 1:28 PM EDT,2017-07-10,2017-07-10 17:28:00 UTC,Eastern Time (US & Canada),108009,cchapman,2017-12-21 02:53:50 UTC,2017-12-21 16:48:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9222192,https://inaturalist-open-data.s3.amazonaws.com/photos/12478280/medium.jpeg,,"Lennox and Addington County, Avenella flexuosa","",1,0,false,,"Lennox and Addington County, ON, Canada",44.6235867913,-77.1585273743,244,,,,244,,,false,,,Avenella flexuosa,Avenella flexuosa,wavy hair-grass,Plantae,288069
9739372,2010/06/19,2010-06-19,,UTC,160,tiggrx,2018-02-05 12:38:10 UTC,2019-07-04 14:46:04 UTC,research,,https://www.inaturalist.org/observations/9739372,https://static.inaturalist.org/photos/13330704/medium.jpg,,"",,1,0,false,,"Littleworth Common, Buckinghamshire, England",51.5676823729,-0.6514715,262,,,,262,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
10455465,2017/06/26 10:53 AM BST,2017-06-26,2017-06-26 09:53:00 UTC,London,484,tomopteris,2018-03-27 21:14:20 UTC,2021-05-03 20:40:22 UTC,research,CC-BY,https://www.inaturalist.org/observations/10455465,https://static.inaturalist.org/photos/14536206/medium.jpg,,"Angiospermae, Deschampsia, Deschampsia flexuosa, Eukaryota, Magnoliophyta, POACEAE, Plantae, Poales, Seed plants, Spermatophyta, Uploaded to iNaturalist, angiosperm, eukaryote, flowering plants, grass, monocot, plant",,2,0,false,,"Surrey, England, United Kingdom",51.3740033333,-0.60223,,,,,,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
10455472,2017/06/26 11:09 AM BST,2017-06-26,2017-06-26 10:09:00 UTC,London,484,tomopteris,2018-03-27 21:14:37 UTC,2021-05-03 20:40:22 UTC,research,CC-BY,https://www.inaturalist.org/observations/10455472,https://static.inaturalist.org/photos/14536239/medium.jpg,,"Angiospermae, Deschampsia, Deschampsia flexuosa, Eukaryota, Magnoliophyta, POACEAE, Plantae, Poales, Seed plants, Spermatophyta, Uploaded to iNaturalist, angiosperm, eukaryote, flowering plants, grass, monocot, plant",,2,0,false,,"Surrey, England, United Kingdom",51.374325,-0.6030666667,,,,,,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
10455681,2017/06/18 2:17 PM BST,2017-06-18,2017-06-18 13:17:00 UTC,London,484,tomopteris,2018-03-27 21:28:49 UTC,2021-05-03 20:40:22 UTC,research,CC-BY,https://www.inaturalist.org/observations/10455681,https://static.inaturalist.org/photos/14536740/medium.jpg,,"Angiospermae, Deschampsia, Deschampsia flexuosa, Eukaryota, Magnoliophyta, POACEAE, Plantae, Poales, Seed plants, Spermatophyta, Uploaded to iNaturalist, angiosperm, eukaryote, flowering plants, grass, monocot, plant",,2,0,false,,"Richmond, UK",51.443095,-0.2862883333,,,,,,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13037508,Fri Jun 01 2018 10:17:48 GMT-0400 (EDT),2018-06-01,2018-06-01 14:17:48 UTC,Eastern Time (US & Canada),4860,rcurtis,2018-06-02 13:43:19 UTC,2021-05-07 21:03:51 UTC,research,CC-BY,https://www.inaturalist.org/observations/13037508,https://inaturalist-open-data.s3.amazonaws.com/photos/18975812/medium.jpg,,SMP,"",1,0,false,3,"Ohio, US",41.177932185,-81.4275539914,65,,,,27847,obscured,open,true,,"",wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13093556,2018/05/31 6:27 AM CEST,2018-05-31,2018-05-31 04:27:00 UTC,Paris,742419,grzegorz_grzejszczak,2018-06-03 22:31:15 UTC,2019-07-04 14:46:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13093556,https://inaturalist-open-data.s3.amazonaws.com/photos/19075883/medium.jpeg,,"",,1,0,false,,"Lohmen, Niemcy",50.9616797222,14.0746780556,,,,,,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13173887,Wed Jun 06 2018 16:14:06 GMT+0200 (GMT+2),2018-06-06,2018-06-06 14:14:06 UTC,Africa/Johannesburg,76575,wollef,2018-06-06 14:15:23 UTC,2019-07-04 14:46:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13173887,https://inaturalist-open-data.s3.amazonaws.com/photos/19245735/medium.jpg,,"",,1,0,false,3,"9154 Grosbous, Grosbous, Diekirch, LU",49.842999992,5.9376867302,10,,,,10,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13236901,2018/06/08 5:47 PM CEST,2018-06-08,2018-06-08 15:47:00 UTC,Paris,468380,thomasschreiter,2018-06-08 18:11:46 UTC,2018-08-21 15:47:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13236901,https://inaturalist-open-data.s3.amazonaws.com/photos/19364198/medium.jpg,,"",,2,0,false,,"Amtsberg, Germany",50.7767138717,12.9967180967,244,,,,244,,,false,,,metlička křivolaká,Avenella flexuosa,wavy hair-grass,Plantae,288069
13307396,2018-06-10 3:25:48 PM EDT,2018-06-10,2018-06-10 19:25:48 UTC,Eastern Time (US & Canada),274968,rayray,2018-06-10 19:26:21 UTC,2020-10-09 01:03:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13307396,https://inaturalist-open-data.s3.amazonaws.com/photos/19488878/medium.jpeg,,"",,1,0,false,2,"15 S Bradley Rd, Woodbridge, CT 06525, USA",41.34575683,-72.9720974,9,,,,9,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13341513,2018-06-11 3:14:06 PM EDT,2018-06-11,2018-06-11 19:14:06 UTC,Eastern Time (US & Canada),5967,mikeburrell,2018-06-11 19:21:17 UTC,2020-07-05 10:56:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13341513,https://inaturalist-open-data.s3.amazonaws.com/photos/19550434/medium.jpeg,,"",,1,0,false,2,"17 Hwy 17, Blind River, ON P0R, Canada",46.2006269116,-83.0266266223,3,,,,3,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13390939,Wed Jun 13 2018 10:39:00 GMT+0200 (GMT+2),2018-06-13,2018-06-13 08:39:00 UTC,Africa/Johannesburg,404218,veronika_johansson,2018-06-13 12:39:28 UTC,2022-06-07 11:28:12 UTC,research,CC0,https://www.inaturalist.org/observations/13390939,https://inaturalist-open-data.s3.amazonaws.com/photos/19639852/medium.jpg,,"",,1,0,false,3,"Judarn, Stockholm, Stockholms län, SE",59.33572,17.9121216667,5,,,,5,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13474924,Mon Jun 11 2018 15:08:36 GMT-0400 (EDT),2018-06-11,2018-06-11 19:08:36 UTC,Eastern Time (US & Canada),437461,donaldasutherland,2018-06-16 09:04:32 UTC,2018-06-17 13:00:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13474924,https://inaturalist-open-data.s3.amazonaws.com/photos/19785090/medium.jpg,,"",,1,0,false,3,"Mississagi River 8 ON, , ON, CA",46.20065,-83.0266583333,5,,,,5,,,false,,,Avenella flexuosa,Avenella flexuosa,wavy hair-grass,Plantae,288069
13641851,2018/06/20 10:51 AM EDT,2018-06-20,2018-06-20 14:51:00 UTC,Eastern Time (US & Canada),437461,donaldasutherland,2018-06-21 16:44:36 UTC,2018-06-22 19:59:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13641851,https://inaturalist-open-data.s3.amazonaws.com/photos/20081890/medium.jpeg,,"",common,1,0,false,,"Queen Elizabeth II Wildlands Provincial Park, Haliburton County, ON, Canada",44.915955,-78.8381133333,,,,,,,,false,,,Avenella flexuosa,Avenella flexuosa,wavy hair-grass,Plantae,288069
13645939,Wed Jun 20 2018 12:18:54 GMT-0400 (EDT),2018-06-20,2018-06-20 16:18:54 UTC,Eastern Time (US & Canada),450545,samuelbrinker,2018-06-21 19:29:44 UTC,2018-06-21 19:38:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13645939,https://inaturalist-open-data.s3.amazonaws.com/photos/20089387/medium.jpg,,"",,1,0,false,3,"Queen Elizabeth II Wildlands Provincial Park, Minden Hills, ON, CA",44.9053494859,-78.8374928062,16,,,,16,,,false,,,Avenella flexuosa,Avenella flexuosa,wavy hair-grass,Plantae,288069
13650829,Thu Jun 21 2018 13:08:55 GMT-0400 (EDT),2018-06-21,2018-06-21 17:08:55 UTC,Eastern Time (US & Canada),254405,edrmorris,2018-06-21 22:07:06 UTC,2019-10-25 17:36:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13650829,https://inaturalist-open-data.s3.amazonaws.com/photos/20097087/medium.jpg,,"","Leaves were round, not flat, distinguishing it from D. cespitosa.",1,0,false,3,"Manitoulin, CA-ON, CA",46.0548248336,-81.342612855,6,,,,6,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
13680858,2018/06/22 4:27 PM CEST,2018-06-22,2018-06-22 14:27:00 UTC,Paris,742419,grzegorz_grzejszczak,2018-06-22 21:28:08 UTC,2019-07-04 14:46:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13680858,https://inaturalist-open-data.s3.amazonaws.com/photos/20148263/medium.jpeg,,"",,2,0,false,,"myśliborski, Polska",53.0501363889,15.0324597222,,,,,,,,false,,,wavy hair-grass,Avenella flexuosa,wavy hair-grass,Plantae,288069
